Rk,Player,W-L%,ERA,Year,Age,Tm,Lg,G,GS,CG,SHO,GF,W,L,SV,IP,H,R,ER,BB,SO,FIP,K%,BB%,ERA+,BAbip,HR,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,BA,OBP,SLG,OPS,OPS+,Pit,Str
1,Jim Abbott-abbotji01,0.318,2.77,1992,24,CAL,AL,29,29,7,0,0,7,15,0,211,208,73,65,68,130,3.31,14.90%,7.80%,143,0.301,12,874,790,28,2,3,4,8,4,22,14,13,1,0,2,0.263,0.323,0.349,0.673,88,,
2,Nolan Ryan-ryanno01,0.333,2.76,1987,40,HOU,NL,34,34,0,0,0,8,16,0,211.2,154,75,65,87,270,2.47,30.90%,10.00%,142,0.287,14,873,771,23,3,2,4,9,1,6,45,7,0,2,10,0.2,0.284,0.292,0.576,60,,
3,Sammy Stewart-stewasa01,0.333,2.32,1981,26,BAL,AL,29,3,0,0,18,4,8,4,112.1,89,33,29,57,57,4.11,12.30%,12.30%,157,0.243,8,463,396,9,0,4,3,4,3,12,3,4,3,2,1,0.225,0.325,0.308,0.633,83,,
4,Jeff Samardzija-samarje01,0.35,2.99,2014,29,TOT,ML,33,33,2,0,0,7,13,0,219.2,191,86,73,43,202,3.2,23.00%,4.90%,125,0.285,20,879,815,38,5,3,10,3,7,20,19,8,2,0,10,0.234,0.279,0.367,0.646,83,3340,2216
5,Don Cardwell-cardwdo01,0.35,2.95,1968,32,NYM,NL,29,25,5,1,1,7,13,1,180,156,69,59,50,82,3.12,11.00%,6.70%,103,0.251,9,747,669,26,1,11,10,11,7,20,8,6,0,1,7,0.233,0.293,0.315,0.609,89,,
6,Jose DeLeon-deleojo01,0.357,2.71,1991,30,STL,NL,28,28,1,0,0,5,9,0,162.2,144,57,49,61,118,3.84,17.40%,9.00%,136,0.272,15,679,603,29,5,1,6,5,4,8,12,12,0,1,1,0.239,0.313,0.378,0.691,100,,
7,Joe Magrane-magrajo01,0.357,2.18,1988,23,STL,NL,24,24,4,3,0,5,9,0,165.1,133,57,40,51,100,2.99,14.80%,7.50%,161,0.249,6,677,612,25,5,4,2,8,4,5,19,9,1,8,8,0.217,0.278,0.304,0.582,72,,
8,Jack Fisher-fisheja01,0.381,2.99,1968,29,CHW,AL,35,28,2,0,1,8,13,0,180.2,176,68,60,48,80,3.42,10.70%,6.40%,107,0.272,14,750,685,28,4,4,7,6,4,17,5,6,0,0,4,0.257,0.31,0.371,0.681,108,,
9,Andy Hassler-hasslan01,0.389,2.61,1974,22,CAL,AL,23,22,10,2,1,7,11,1,162,132,64,47,79,76,4.07,11.10%,11.60%,131,0.243,10,684,587,16,1,2,9,8,1,28,10,5,2,1,7,0.225,0.325,0.307,0.632,87,,
10,Omar Daal-daalom01,0.4,2.88,1998,26,ARI,NL,33,23,3,1,4,8,12,0,162.2,146,60,52,51,132,3.47,19.90%,7.70%,146,0.293,12,664,595,23,1,3,3,9,6,14,3,12,4,1,0,0.245,0.305,0.348,0.653,76,,
11,Lew Krausse-krausle02,0.4,2.94,1971,28,MIL,AL,43,22,1,0,4,8,12,0,180.1,164,67,59,62,92,4.2,12.10%,8.20%,117,0.247,23,760,685,21,7,10,5,6,2,10,13,9,1,1,1,0.239,0.306,0.391,0.698,105,,
12,Ray Sadecki-sadecra01,0.4,2.91,1968,27,SFG,NL,38,36,13,6,0,12,18,0,253.2,225,94,82,70,206,2.34,19.80%,6.70%,103,0.289,14,1040,946,30,4,17,3,14,5,21,11,10,5,0,9,0.238,0.291,0.322,0.613,89,,
13,Bob Moose-moosebo01,0.4,2.74,1968,20,PIT,NL,38,22,3,3,7,8,12,3,170.2,136,61,52,41,126,2.06,18.40%,6.00%,106,0.264,5,685,624,22,3,7,3,14,3,13,9,2,0,1,3,0.218,0.268,0.287,0.555,71,,
14,Denny Lemaster-lemasde01,0.4,2.81,1968,29,HOU,NL,33,32,7,2,0,10,15,0,224,231,79,70,72,146,2.74,15.10%,7.50%,105,0.302,11,965,880,32,10,11,4,4,5,15,10,3,0,2,7,0.263,0.319,0.359,0.679,109,,
15,Andy Messersmith-messean01,0.421,2.81,1972,26,CAL,AL,25,21,10,3,4,8,11,2,169.2,125,56,53,68,142,2.35,20.60%,9.90%,104,0.261,5,690,603,25,3,8,2,13,4,9,13,5,0,1,2,0.207,0.288,0.284,0.572,80,,
16,Mike Cuellar-cuellmi01,0.421,2.74,1968,31,HOU,NL,28,24,11,2,3,8,11,1,170.2,152,60,52,45,133,2.24,19.00%,6.40%,108,0.285,8,700,640,23,5,7,1,8,6,12,3,5,1,0,2,0.238,0.286,0.327,0.613,88,,
17,Don Sutton-suttodo01,0.423,2.6,1968,23,LAD,NL,35,27,7,2,6,11,15,1,207.2,179,64,60,59,162,2.08,19.10%,7.00%,106,0.285,6,847,773,24,3,14,2,10,3,8,16,6,0,3,4,0.232,0.287,0.294,0.58,87,,
18,Carlos Carrasco-carraca01,0.429,2.91,2020,33,CLE,AL,12,12,0,0,0,3,4,0,68,55,22,22,27,82,3.59,29.30%,9.60%,157,0.294,8,280,249,11,0,0,2,1,1,5,2,2,0,0,6,0.221,0.301,0.361,0.663,78,1101,705
